src_ip,total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
192.168.1.50,474994,474994,0,0,26,0.6697,60.0,30.0,15832.99,0.0001,111.6109,1,0,attack
192.168.1.50,464784,464784,0,0,29,0.6709,60.0,30.0,15492.43,0.0001,111.8208,1,0,attack
192.168.1.50,473102,473102,0,0,25,0.6685,60.0,30.0,15770.04,0.0001,111.4129,1,0,attack
192.168.1.50,462723,462723,0,0,25,0.6778,60.0,30.0,15423.87,0.0001,112.9708,1,0,attack
192.168.1.50,405300,405300,0,0,20,0.765,60.0,30.0,13509.65,0.0,127.4932,1,0,attack
192.168.1.50,398718,398718,0,0,15,0.7705,60.0,30.0,13290.47,0.0,128.422,1,0,attack
192.168.1.50,397271,397271,0,0,16,0.7729,60.0,30.0,13242.17,0.0,128.8126,1,0,attack
192.168.1.50,399328,399328,0,0,12,0.7721,60.0,30.0,13310.78,0.0,128.687,1,0,attack
192.168.1.50,395138,395138,0,0,10,0.7795,60.0,30.0,13171.1,0.0,129.923,1,0,attack
192.168.1.50,394170,394170,0,0,7,0.7772,60.0,30.0,13138.92,0.0,129.5384,1,0,attack
192.168.1.50,403550,403550,0,0,12,0.78,60.0,30.0,13451.44,0.0,130.0045,1,0,attack
192.168.1.50,398664,398664,0,0,10,0.7734,60.0,30.0,13288.56,0.0,128.8976,1,0,attack
192.168.1.50,405516,405516,0,0,10,0.7844,60.0,30.0,13516.75,0.0,130.7412,1,0,attack
192.168.1.50,396520,396520,0,0,7,0.7773,60.0,30.0,13217.31,0.0,129.5571,1,0,attack
192.168.1.50,386688,386688,0,0,6,0.7787,60.0,30.0,12889.37,0.0,129.7812,1,0,attack
192.168.1.50,395282,395282,0,0,6,0.7795,60.0,30.0,13175.84,0.0,129.922,1,0,attack
192.168.1.50,396577,396577,0,0,8,0.7788,60.0,30.0,13219.21,0.0,129.8075,1,0,attack
192.168.1.50,397989,397989,0,0,5,0.7762,60.0,30.0,13266.04,0.0,129.3733,1,0,attack
192.168.1.50,398089,398089,0,0,5,0.7752,60.0,30.0,13269.52,0.0,129.2073,1,0,attack
192.168.1.50,383143,383143,0,0,9,0.7839,60.0,30.0,12771.17,0.0,130.6523,1,0,attack
192.168.1.50,390120,390120,0,0,6,0.7816,60.0,30.0,13003.64,0.0,130.2685,1,0,attack
192.168.1.50,426739,426739,0,0,9,0.8031,60.0,30.0,14224.37,0.0,133.8582,1,0,attack
192.168.1.50,395713,395713,0,0,9,0.7801,60.0,30.0,13190.09,0.0,130.0214,1,0,attack
192.168.1.50,391042,391042,0,0,4,0.7807,60.0,30.0,13034.52,0.0,130.1207,1,0,attack
192.168.1.50,396240,396240,0,0,6,0.7763,60.0,30.0,13207.9,0.0,129.3913,1,0,attack
192.168.1.50,397271,397271,0,0,7,0.7769,60.0,30.0,13242.22,0.0,129.4863,1,0,attack
192.168.1.50,396677,396677,0,0,8,0.7775,60.0,30.0,13222.44,0.0,129.5844,1,0,attack
192.168.1.50,393926,393926,0,0,7,0.7747,60.0,30.0,13130.69,0.0,129.1199,1,0,attack
192.168.1.50,395043,395043,0,0,6,0.7744,60.0,30.0,13167.91,0.0,129.0585,1,0,attack
192.168.1.50,391015,391015,0,0,7,0.7807,60.0,30.0,13033.8,0.0,130.1165,1,0,attack
192.168.1.50,388094,388094,0,0,10,0.7564,60.0,30.0,12936.27,0.0,126.061,1,0,attack
192.168.1.50,248558,248558,0,0,5,0.4998,60.0,30.0,8285.15,0.0,83.2944,0,0,attack
192.168.1.50,84679,84679,0,0,1,0.5,60.0,30.0,2822.62,0.0,83.3323,0,0,attack
